teamID,avg_clustering,total_degree,clique_number,avg_position
Huskies,0.0543591313576968,10435,19,"(50.96457569431054, 50.355242039769074)"
Opponent1,0.06339780327032407,6760,10,"(49.35605543237452, 48.83773160120943)"
Opponent2,0.10967704023072215,1293,10,"(51.150347539957444, 52.23282023204118)"
Opponent3,0.18645061686989803,969,10,"(51.99542406749791, 52.1176827442373)"
Opponent4,0.09670020932221148,818,11,"(49.611034799254824, 50.97389696051204)"
Opponent5,0.12235915363339024,849,8,"(53.392383848487185, 47.434361205702906)"
Opponent6,0.11348138612441207,498,9,"(52.924666479701095, 43.80736757663392)"
Opponent7,0.19023145273948008,404,9,"(50.99444558044466, 46.33455801888773)"
Opponent8,0.16646338666929408,449,8,"(47.451574509834174, 49.75849988010153)"
Opponent9,0.13977619402267252,863,10,"(45.58089562270231, 47.21238088124371)"
Opponent10,0.14539452136831202,487,8,"(46.99421979551487, 51.00902759467146)"
Opponent11,0.12581445495408244,577,8,"(48.251662111473664, 52.19485522823178)"
Opponent12,0.1359513434263406,646,9,"(49.03709001260237, 44.5414071333685)"
Opponent13,0.11622253923690216,750,8,"(47.11441632703216, 48.16070807610994)"
Opponent14,0.11732565134346623,702,9,"(49.8943384166523, 51.70287421681066)"
Opponent15,0.14334327334078628,522,9,"(53.07583926417693, 48.98633968303973)"
Opponent16,0.09714040711388923,944,10,"(52.87588994206125, 52.95484591343355)"
Opponent17,0.12931995852140918,602,9,"(47.64642167745796, 46.461908336186)"
Opponent18,0.13650064471000348,558,8,"(48.10277879101646, 50.8760713074537)"
Opponent19,0.1287455636972146,416,10,"(48.13366592527896, 44.33163633035692)"
